# PBI辐射计算结果 - CLI版本
# 生成时间: 2025-06-19 21:29:34.393265

# 输入参数:
# initial_energy: 3.0
# thickness: 0.0
# density: 1.947
# ionization_energy: 12.0
# g_factor: 0.17
# max_radius: 100.0
# save: True

# SRIM能量损失分析:
# 初始能量: 3.0
# 最终能量: 3.0
# 能量损失: 0.0
# 损失百分比: 0.0
# 密度修正因子: 1.298
# 修正后阻止本领: 6704.17

# 分析结果:
# PBI分子数密度: 3.806764e+00 分子/nm³
# 径迹中心温度: 3,350 K
# 总沉积能量: 1.671808e+00 keV

径向距离_nm	原始剂量_keV_nm3	归一化剂量_keV_nm3	温度_K	单原子能量_eV
2.285104e+00	1.121946e-02	7.648556e-03	6.476883e+02	8.186785e-02
2.292135e+00	1.115095e-02	7.601855e-03	6.437337e+02	8.136799e-02
2.299187e+00	1.108287e-02	7.555439e-03	6.398032e+02	8.087117e-02
2.306262e+00	1.101520e-02	7.509306e-03	6.358966e+02	8.037737e-02
2.313358e+00	1.094794e-02	7.463454e-03	6.320137e+02	7.988658e-02
2.320476e+00	1.088109e-02	7.417881e-03	6.281546e+02	7.939878e-02
2.327616e+00	1.081465e-02	7.372586e-03	6.243189e+02	7.891395e-02
2.334777e+00	1.074861e-02	7.327566e-03	6.205066e+02	7.843208e-02
2.341961e+00	1.068297e-02	7.282821e-03	6.167175e+02	7.795314e-02
2.349167e+00	1.061774e-02	7.238348e-03	6.129515e+02	7.747712e-02
2.356395e+00	1.055290e-02	7.194146e-03	6.092085e+02	7.700399e-02
2.363646e+00	1.048845e-02	7.150214e-03	6.054882e+02	7.653375e-02
2.370918e+00	1.042440e-02	7.106549e-03	6.017906e+02	7.606637e-02
2.378213e+00	1.036074e-02	7.063150e-03	5.981155e+02	7.560184e-02
2.385531e+00	1.029747e-02	7.020015e-03	5.944628e+02	7.514014e-02
2.392871e+00	1.023458e-02	6.977143e-03	5.908324e+02	7.468126e-02
2.400234e+00	1.017208e-02	6.934533e-03	5.872241e+02	7.422516e-02
2.407619e+00	1.010995e-02	6.892182e-03	5.836377e+02	7.377185e-02
2.415027e+00	1.004821e-02	6.850088e-03	5.800732e+02	7.332130e-02
2.422458e+00	9.986839e-03	6.808252e-03	5.765305e+02	7.287349e-02
2.429911e+00	9.925844e-03	6.766670e-03	5.730093e+02	7.242841e-02
2.437388e+00	9.865221e-03	6.725341e-03	5.695095e+02	7.198604e-02
2.444887e+00	9.804966e-03	6.684265e-03	5.660311e+02	7.154637e-02
2.452410e+00	9.745079e-03	6.643438e-03	5.625739e+02	7.110938e-02
2.459956e+00	9.685557e-03	6.602861e-03	5.591377e+02	7.067505e-02
2.467525e+00	9.626397e-03	6.562530e-03	5.557225e+02	7.024336e-02
2.475117e+00	9.567598e-03	6.522446e-03	5.523281e+02	6.981431e-02
2.482733e+00	9.509157e-03	6.482605e-03	5.489544e+02	6.938787e-02
2.490372e+00	9.451073e-03	6.443008e-03	5.456012e+02	6.896403e-02
2.498034e+00	9.393342e-03	6.403651e-03	5.422684e+02	6.854277e-02
2.505720e+00	9.335963e-03	6.364535e-03	5.389560e+02	6.812408e-02
2.513430e+00	9.278933e-03	6.325656e-03	5.356638e+02	6.770794e-02
2.521164e+00	9.222252e-03	6.287015e-03	5.323916e+02	6.729433e-02
2.528921e+00	9.165915e-03	6.248609e-03	5.291393e+02	6.688325e-02
2.536702e+00	9.109922e-03	6.210438e-03	5.259069e+02	6.647467e-02
2.544508e+00	9.054270e-03	6.172498e-03	5.226942e+02	6.606858e-02
2.552337e+00	8.998957e-03	6.134791e-03	5.195010e+02	6.566496e-02
2.560190e+00	8.943982e-03	6.097312e-03	5.163273e+02	6.526381e-02
2.568067e+00	8.889341e-03	6.060063e-03	5.131730e+02	6.486510e-02
